shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1217_shp,42.4551200,-76.4808000,28052,18926.8552130
1217_shp,42.4563000,-76.4813000,28053,19377.5704250
1217_shp,42.4563800,-76.4809600,28054,19473.8467150
1217_shp,42.4564200,-76.4808300,28055,19511.8378340
1217_shp,42.4564200,-76.4808300,28056,19511.8378340
1217_shp,42.4566900,-76.4796800,28057,19837.4123610
1217_shp,42.4568300,-76.4786400,28058,20122.6745810
1217_shp,42.4566900,-76.4769300,28059,20586.9600760
1217_shp,42.4566900,-76.4769300,28060,20586.9600760
1217_shp,42.4566700,-76.4760000,28061,20838.0430210
1217_shp,42.4567900,-76.4745700,28062,21226.4238920
1217_shp,42.4567900,-76.4745700,28063,21226.4238920
1217_shp,42.4568200,-76.4742500,28064,21313.4707930
1217_shp,42.4568300,-76.4741800,28065,21332.7098340
1217_shp,42.4573700,-76.4743800,28066,21536.7759990
1217_shp,42.4583300,-76.4747900,28067,21903.7196740
1217_shp,42.4582100,-76.4750900,28068,21995.7350900
1217_shp,42.4581500,-76.4752100,28069,22034.8097600
1217_shp,42.4580700,-76.4753900,28070,22091.4629210
1217_shp,42.4580700,-76.4753900,28071,22091.4629210
1217_shp,42.4580500,-76.4757400,28072,22186.1954290
1217_shp,42.4580800,-76.4764900,28073,22388.8869650
1217_shp,42.4580300,-76.4773200,28074,22613.6124050
1217_shp,42.4579400,-76.4778900,28075,22770.8920400
1217_shp,42.4578700,-76.4785900,28076,22961.5106880
1217_shp,42.4568400,-76.4783900,28077,23340.7471670
1217_shp,42.4567800,-76.4776300,28078,23547.0086840
1217_shp,42.4567700,-76.4772000,28079,23663.1089100
1217_shp,42.4567300,-76.4767000,28080,23798.8278740
1217_shp,42.4567500,-76.4760400,28081,23977.0895810
1217_shp,42.4567900,-76.4752100,28082,24201.5534710
1217_shp,42.4568400,-76.4745300,28083,24385.9657250
1217_shp,42.4568500,-76.4742200,28084,24469.7038910
1217_shp,42.4568900,-76.4723800,28085,24966.4732240
1217_shp,42.4567700,-76.4720100,28086,25075.4814100
1217_shp,42.4566200,-76.4718300,28087,25148.6118750
1217_shp,42.4563300,-76.4716400,28088,25266.0817460
1221_shp,42.4425400,-76.4852700,28089,0.0000000
1221_shp,42.4426400,-76.4853100,28090,38.0099590
1221_shp,42.4428500,-76.4852100,28091,119.1633850
